model,condition,profile,task,run,model_id,miss,loc,primitive_calls,syntax_error,runtime_errors,timeouts,truth,reported_outcome,false_confirmations,false_alarms,bucket,say_count,say_before_action,say_mid,say_after_all,say_objects,say_progress,say_environment,say_intent,say_confirming,say_verb,say_robot_action,say_error,total_actions,exec_seconds,speech_seconds_est,silence_seconds_est,longest_silent_gap,failure_type,pct_before,pct_mid,pct_after,pct_objects,pct_progress,pct_environment,pct_intent,pct_confirming,pct_verb,pct_robot_action,pct_error,stale_format
claude45,baseline,blind,L10,1,claude-opus-4-5,0,7,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,0,0,0,1,1,0,2,3.0,4.8,0,3.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L10,2,claude-opus-4-5,0,3,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,0,0,0,1,1,0,2,2.9,5.2,0,2.9,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L10,3,claude-opus-4-5,0,3,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,0,0,0,1,1,0,2,2.9,5.6,0,2.9,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L10,4,claude-opus-4-5,0,7,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,0,0,0,1,1,0,2,2.9,5.2,0,2.9,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L10,5,claude-opus-4-5,0,7,0,0,0,0,1,0,0,0,silent,1,1,0,0,1,0,0,0,0,1,1,0,2,2.9,5.2,0,2.9,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L1,1,claude-opus-4-5,0,9,0,0,0,0,1,1,0,0,correct_report,5,1,3,1,4,1,0,0,0,0,4,0,4,6.1,14.8,0,2.3,,0.2,0.6,0.2,0.8,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0
claude45,baseline,blind,L1,2,claude-opus-4-5,0,10,0,0,0,0,0,1,2,0,false_confirm,6,1,3,2,4,1,0,0,0,4,1,0,4,6.5,19.2,0,2.0,attempted,0.16666666666666666,0.5,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0
claude45,baseline,blind,L1,3,claude-opus-4-5,0,10,0,0,0,0,0,1,3,0,false_confirm,6,1,3,2,4,1,0,0,0,4,1,0,4,6.9,18.8,0,2.5,attempted,0.16666666666666666,0.5,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0
claude45,baseline,blind,L1,4,claude-opus-4-5,0,5,0,0,0,0,1,0,0,0,silent,5,2,3,0,4,0,0,0,0,0,5,0,4,5.9,14.8,0,1.6,,0.4,0.6,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
claude45,baseline,blind,L1,5,claude-opus-4-5,0,10,0,0,0,0,0,1,2,0,false_confirm,6,1,3,2,4,1,0,0,0,4,1,0,4,5.9,18.8,0,1.6,attempted,0.16666666666666666,0.5,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0
claude45,baseline,blind,L2,1,claude-opus-4-5,0,3,0,0,0,0,1,0,0,0,silent,1,1,0,0,0,0,0,0,0,1,1,0,3,2.5,2.8,0,2.5,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L2,2,claude-opus-4-5,0,3,0,0,0,0,1,0,0,0,silent,1,1,0,0,0,0,0,0,0,1,1,0,3,2.4,2.8,0,2.4,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L2,3,claude-opus-4-5,0,3,0,0,0,0,0,0,0,0,silent,1,1,0,0,0,0,0,0,0,1,1,0,3,2.7,2.8,0,2.7,attempted,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L2,4,claude-opus-4-5,0,3,0,0,0,0,1,0,0,0,silent,1,1,0,0,0,0,0,0,0,1,1,0,3,2.5,2.8,0,2.5,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L2,5,claude-opus-4-5,0,3,0,0,0,0,0,0,0,0,silent,1,1,0,0,0,0,0,0,0,1,1,0,3,2.4,3.6,0,2.4,attempted,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
claude45,baseline,blind,L3,1,claude-opus-4-5,0,5,0,0,0,0,1,0,0,0,silent,1,1,0,0,0,0,1,0,0,0,1,0,4,3.3,4.8,0,3.3,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
