model,condition,profile,task,say,say_verified,say_progress,confirm_before,pause,describe_scene,total_comm,actions,comm_per_action,verified_share,comm_in_loop,reports_outcome
claude,baseline,blind,T1,2,0,0,0,0,0,2,1,2.0,0.0,0,0
claude,baseline,blind,T2,2,0,0,0,0,0,2,1,2.0,0.0,0,0
claude,baseline,blind,T3,1,0,0,0,0,0,1,0,,0.0,0,0
claude,baseline,blind,T4,2,0,0,0,0,0,2,0,,0.0,0,1
claude,baseline,blind,T5,2,0,0,0,0,0,2,1,2.0,0.0,0,0
claude,baseline,blind_bare,T1,1,0,0,0,0,0,1,1,1.0,0.0,0,0
claude,baseline,blind_bare,T2,1,0,0,0,0,0,1,1,1.0,0.0,0,0
claude,baseline,blind_bare,T3,1,0,0,0,0,0,1,0,,0.0,0,0
claude,baseline,blind_bare,T4,2,0,0,0,0,0,2,0,,0.0,0,1
claude,baseline,blind_bare,T5,1,0,0,0,0,0,1,1,1.0,0.0,0,0
claude,baseline,busy,T1,0,0,0,0,0,0,0,1,0.0,,0,0
claude,baseline,busy,T2,0,0,0,0,0,0,0,1,0.0,,0,0
claude,baseline,busy,T3,1,0,0,0,0,0,1,1,1.0,0.0,0,1
claude,baseline,busy,T4,2,0,0,0,0,0,2,0,,0.0,0,1
claude,baseline,busy,T5,1,0,0,0,0,0,1,1,1.0,0.0,0,0
claude,baseline,none,T1,1,0,0,0,0,0,1,1,1.0,0.0,0,0
claude,baseline,none,T2,1,0,0,0,0,0,1,1,1.0,0.0,0,0
claude,baseline,none,T3,1,0,0,0,0,0,1,0,,0.0,0,0
claude,baseline,none,T4,2,0,0,0,0,0,2,0,,0.0,0,1
claude,baseline,none,T5,1,0,0,0,0,0,1,1,1.0,0.0,0,0
claude,baseline,sighted,T1,1,0,0,0,0,0,1,1,1.0,0.0,0,0
claude,baseline,sighted,T2,1,0,0,0,0,0,1,1,1.0,0.0,0,0
claude,baseline,sighted,T3,1,0,0,0,0,0,1,0,,0.0,0,0
claude,baseline,sighted,T4,2,0,0,0,0,0,2,0,,0.0,0,1
claude,baseline,sighted,T5,1,0,0,0,0,0,1,1,1.0,0.0,0,0
claude,primitives,blind,T1,0,1,0,1,0,0,2,1,2.0,1.0,0,1
claude,primitives,blind,T2,0,1,0,1,0,0,2,1,2.0,1.0,0,1
claude,primitives,blind,T3,1,0,0,0,0,0,1,0,,0.0,0,0
claude,primitives,blind,T4,2,0,0,0,0,0,2,0,,0.0,0,1
claude,primitives,blind,T5,0,1,0,1,0,0,2,1,2.0,1.0,0,1
claude,primitives,blind_bare,T1,0,1,0,1,0,0,2,1,2.0,1.0,0,1
claude,primitives,blind_bare,T2,0,1,0,1,0,0,2,1,2.0,1.0,0,1
claude,primitives,blind_bare,T3,1,0,0,0,0,0,1,0,,0.0,0,0
claude,primitives,blind_bare,T4,2,0,0,0,0,0,2,0,,0.0,0,1
claude,primitives,blind_bare,T5,0,1,0,1,0,0,2,1,2.0,1.0,0,1
claude,primitives,busy,T1,0,1,0,1,0,0,2,1,2.0,1.0,0,1
claude,primitives,busy,T2,0,1,0,1,0,0,2,1,2.0,1.0,0,1
claude,primitives,busy,T3,1,0,0,0,0,0,1,0,,0.0,0,0
claude,primitives,busy,T4,2,0,0,0,0,0,2,0,,0.0,0,1
claude,primitives,busy,T5,0,1,0,1,0,0,2,1,2.0,1.0,0,1
claude,primitives,none,T1,0,1,0,1,0,0,2,1,2.0,1.0,0,1
claude,primitives,none,T2,0,1,0,1,0,0,2,1,2.0,1.0,0,1
claude,primitives,none,T3,1,0,0,0,0,0,1,0,,0.0,0,0
claude,primitives,none,T4,2,0,0,0,0,0,2,0,,0.0,0,1
claude,primitives,none,T5,0,1,0,1,0,0,2,1,2.0,1.0,0,1
claude,primitives,sighted,T1,0,1,0,1,0,0,2,1,2.0,1.0,0,1
claude,primitives,sighted,T2,0,1,0,1,0,0,2,1,2.0,1.0,0,1
claude,primitives,sighted,T3,1,0,0,0,0,0,1,0,,0.0,0,0
claude,primitives,sighted,T4,2,0,0,0,0,0,2,0,,0.0,0,1
claude,primitives,sighted,T5,0,1,0,1,0,0,2,1,2.0,1.0,0,1
claude,promptbook,blind,T1,3,0,0,0,0,0,3,1,3.0,0.0,0,0
claude,promptbook,blind,T2,3,0,0,0,0,0,3,1,3.0,0.0,0,0
claude,promptbook,blind,T3,1,0,0,0,0,0,1,0,,0.0,0,0
claude,promptbook,blind,T4,2,0,0,0,0,0,2,0,,0.0,0,1
claude,promptbook,blind,T5,3,0,0,0,0,0,3,1,3.0,0.0,0,0
claude,promptbook,blind_bare,T1,3,0,0,0,0,0,3,1,3.0,0.0,0,0
claude,promptbook,blind_bare,T2,3,0,0,0,0,0,3,1,3.0,0.0,0,0
claude,promptbook,blind_bare,T3,4,0,0,0,0,0,4,1,4.0,0.0,0,1
claude,promptbook,blind_bare,T4,2,0,0,0,0,0,2,0,,0.0,0,1
claude,promptbook,blind_bare,T5,4,0,0,0,0,0,4,1,4.0,0.0,0,0
claude,promptbook,busy,T1,3,0,0,0,0,0,3,1,3.0,0.0,0,1
claude,promptbook,busy,T2,1,0,0,0,0,0,1,1,1.0,0.0,0,0
claude,promptbook,busy,T3,2,0,0,0,0,0,2,1,2.0,0.0,0,1
claude,promptbook,busy,T4,2,0,0,0,0,0,2,0,,0.0,0,1
claude,promptbook,busy,T5,1,0,0,0,0,0,1,1,1.0,0.0,0,0
claude,promptbook,none,T1,4,0,0,0,0,0,4,1,4.0,0.0,0,1
claude,promptbook,none,T2,3,0,0,0,0,0,3,1,3.0,0.0,0,0
claude,promptbook,none,T3,1,0,0,0,0,0,1,0,,0.0,0,0
claude,promptbook,none,T4,2,0,0,0,0,0,2,0,,0.0,0,1
claude,promptbook,none,T5,4,0,0,0,0,0,4,1,4.0,0.0,0,1
claude,promptbook,sighted,T1,3,0,0,0,0,0,3,1,3.0,0.0,0,0
claude,promptbook,sighted,T2,1,0,0,0,0,0,1,1,1.0,0.0,0,0
claude,promptbook,sighted,T3,2,0,0,0,0,0,2,1,2.0,0.0,0,1
claude,promptbook,sighted,T4,2,0,0,0,0,0,2,0,,0.0,0,1
claude,promptbook,sighted,T5,4,0,0,0,0,0,4,1,4.0,0.0,0,1
openai,baseline,blind,T1,2,0,0,0,0,0,2,1,2.0,0.0,0,0
openai,baseline,blind,T2,2,0,0,0,0,0,2,1,2.0,0.0,0,0
openai,baseline,blind,T3,3,0,0,0,0,0,3,1,3.0,0.0,0,1
openai,baseline,blind,T4,2,0,0,0,0,0,2,0,,0.0,0,1
openai,baseline,blind,T5,2,0,0,0,0,0,2,1,2.0,0.0,0,0
openai,baseline,blind_bare,T1,1,0,0,0,0,0,1,1,1.0,0.0,0,0
openai,baseline,blind_bare,T2,1,0,0,0,0,0,1,1,1.0,0.0,0,0
openai,baseline,blind_bare,T3,2,0,0,0,0,0,2,1,2.0,0.0,0,0
openai,baseline,blind_bare,T4,2,0,0,0,0,0,2,0,,0.0,0,1
openai,baseline,blind_bare,T5,1,0,0,0,0,0,1,1,1.0,0.0,0,0
openai,baseline,busy,T1,0,0,0,0,0,0,0,1,0.0,,0,0
openai,baseline,busy,T2,1,0,0,0,0,0,1,1,1.0,0.0,0,0
openai,baseline,busy,T3,1,0,0,0,0,0,1,1,1.0,0.0,0,1
openai,baseline,busy,T4,2,0,0,0,0,0,2,0,,0.0,0,1
openai,baseline,busy,T5,1,0,0,0,0,0,1,1,1.0,0.0,0,0
openai,baseline,none,T1,1,0,0,0,0,0,1,1,1.0,0.0,0,0
openai,baseline,none,T2,1,0,0,0,0,0,1,1,1.0,0.0,0,0
openai,baseline,none,T3,2,0,0,0,0,0,2,1,2.0,0.0,0,0
openai,baseline,none,T4,2,0,0,0,0,0,2,0,,0.0,0,1
openai,baseline,none,T5,1,0,0,0,0,0,1,1,1.0,0.0,0,0
openai,baseline,sighted,T1,1,0,0,0,0,0,1,1,1.0,0.0,0,0
openai,baseline,sighted,T2,1,0,0,0,0,0,1,1,1.0,0.0,0,0
openai,baseline,sighted,T3,2,0,0,0,0,0,2,1,2.0,0.0,0,1
openai,baseline,sighted,T4,2,0,0,0,0,0,2,0,,0.0,0,1
openai,baseline,sighted,T5,1,0,0,0,0,0,1,1,1.0,0.0,0,0
openai,primitives,blind,T1,0,1,0,1,1,0,3,1,3.0,1.0,0,1
openai,primitives,blind,T2,0,1,0,1,1,0,3,1,3.0,1.0,0,1
openai,primitives,blind,T3,0,1,0,1,1,0,3,1,3.0,1.0,0,1
openai,primitives,blind,T4,2,0,0,1,0,0,3,0,,0.0,0,1
openai,primitives,blind,T5,0,1,1,1,1,0,4,1,4.0,1.0,0,1
openai,primitives,blind_bare,T1,0,1,0,1,1,0,3,1,3.0,1.0,0,1
openai,primitives,blind_bare,T2,0,1,0,1,1,0,3,1,3.0,1.0,0,1
openai,primitives,blind_bare,T3,0,1,0,1,1,0,3,1,3.0,1.0,0,1
openai,primitives,blind_bare,T4,2,0,0,1,0,0,3,0,,0.0,0,1
openai,primitives,blind_bare,T5,0,1,2,1,1,0,5,1,5.0,1.0,0,1
openai,primitives,busy,T1,0,1,0,1,1,0,3,1,3.0,1.0,0,1
openai,primitives,busy,T2,0,1,0,1,1,0,3,1,3.0,1.0,0,1
openai,primitives,busy,T3,1,1,0,1,1,0,4,1,4.0,0.5,0,1
openai,primitives,busy,T4,2,0,0,0,0,0,2,0,,0.0,0,1
openai,primitives,busy,T5,0,1,1,1,1,0,4,1,4.0,1.0,0,1
openai,primitives,none,T1,0,1,0,1,1,0,3,1,3.0,1.0,0,1
openai,primitives,none,T2,0,0,0,1,0,0,1,1,1.0,,0,0
openai,primitives,none,T3,0,1,0,1,1,1,4,1,4.0,1.0,0,1
openai,primitives,none,T4,0,0,0,0,0,1,1,0,,,0,0
openai,primitives,none,T5,0,0,1,1,0,0,2,1,2.0,,1,0
openai,primitives,sighted,T1,0,1,0,1,1,0,3,1,3.0,1.0,0,1
openai,primitives,sighted,T2,0,1,0,1,1,0,3,1,3.0,1.0,0,1
openai,primitives,sighted,T3,0,1,0,1,1,0,3,1,3.0,1.0,0,1
openai,primitives,sighted,T4,0,0,0,0,0,1,1,0,,,0,0
openai,primitives,sighted,T5,0,1,1,1,1,0,4,1,4.0,1.0,1,1
openai,promptbook,blind,T1,6,0,0,0,0,0,6,1,6.0,0.0,0,1
openai,promptbook,blind,T2,3,0,0,0,0,0,3,1,3.0,0.0,0,1
openai,promptbook,blind,T3,5,0,0,0,0,0,5,1,5.0,0.0,0,1
openai,promptbook,blind,T4,2,0,0,0,0,0,2,0,,0.0,0,1
openai,promptbook,blind,T5,6,0,0,0,0,0,6,1,6.0,0.0,0,1
openai,promptbook,blind_bare,T1,4,0,0,0,0,0,4,1,4.0,0.0,0,1
openai,promptbook,blind_bare,T2,5,0,0,0,0,0,5,1,5.0,0.0,0,1
openai,promptbook,blind_bare,T3,5,0,0,0,0,0,5,1,5.0,0.0,0,1
openai,promptbook,blind_bare,T4,3,0,0,0,0,0,3,0,,0.0,0,1
openai,promptbook,blind_bare,T5,4,0,0,0,0,0,4,1,4.0,0.0,0,1
openai,promptbook,busy,T1,5,0,0,0,0,0,5,1,5.0,0.0,0,1
openai,promptbook,busy,T2,4,0,0,0,0,0,4,1,4.0,0.0,0,1
openai,promptbook,busy,T3,5,0,0,0,0,0,5,1,5.0,0.0,0,1
openai,promptbook,busy,T4,2,0,0,0,0,0,2,0,,0.0,0,1
openai,promptbook,busy,T5,4,0,0,0,0,0,4,1,4.0,0.0,0,1
openai,promptbook,none,T1,5,0,0,0,0,0,5,1,5.0,0.0,0,1
openai,promptbook,none,T2,6,0,0,0,0,0,6,1,6.0,0.0,0,1
openai,promptbook,none,T3,5,0,0,0,0,0,5,1,5.0,0.0,0,1
openai,promptbook,none,T4,3,0,0,0,0,0,3,0,,0.0,0,1
openai,promptbook,none,T5,5,0,0,0,0,0,5,1,5.0,0.0,0,1
openai,promptbook,sighted,T1,4,0,0,0,0,0,4,1,4.0,0.0,0,1
openai,promptbook,sighted,T2,4,0,0,0,0,0,4,1,4.0,0.0,0,1
openai,promptbook,sighted,T3,5,0,0,0,0,0,5,1,5.0,0.0,0,1
openai,promptbook,sighted,T4,3,0,0,0,0,0,3,0,,0.0,0,1
openai,promptbook,sighted,T5,4,0,0,0,0,0,4,1,4.0,0.0,0,1
